RegionName,Median Price 2009,Inflated Median Price 2009,Median Price 2019,Percent Change
95747,"$304,350.00","$362,693.90","$485,850.00",33.96%
95765,"$297,850.00","$354,947.84","$520,800.00",46.73%
95776,"$246,450.00","$293,694.46","$442,600.00",50.70%
95818,"$350,450.00","$417,631.27","$545,000.00",30.50%
95819,"$368,850.00","$439,558.54","$605,200.00",37.68%
95820,"$72,650.00","$86,577.01","$269,700.00",211.51%
95821,"$181,550.00","$216,353.14","$343,500.00",58.77%
95824,"$69,400.00","$82,703.98","$233,050.00",181.79%
95826,"$175,200.00","$208,785.84","$330,850.00",58.46%
95829,"$214,350.00","$255,440.89","$407,400.00",59.49%
95834,"$197,550.00","$235,420.33","$365,600.00",55.30%
95835,"$221,900.00","$264,438.23","$386,900.00",46.31%
95842,"$129,350.00","$154,146.39","$273,500.00",77.43%
95843,"$195,600.00","$233,096.52","$349,350.00",49.87%
95901,"$138,300.00","$164,812.11","$263,750.00",60.03%
95949,"$318,550.00","$379,616.03","$420,850.00",10.86%
95961,"$155,350.00","$185,130.60","$309,450.00",67.15%
96001,"$209,350.00","$249,482.39","$293,550.00",17.66%
96002,"$189,600.00","$225,946.32","$268,150.00",18.68%
96003,"$216,600.00","$258,122.22","$292,050.00",13.14%
96022,"$181,400.00","$216,174.38","$268,150.00",24.04%
96150,"$307,900.00","$366,924.43","$454,650.00",23.91%
96161,"$469,950.00","$560,039.42","$641,250.00",14.50%
